Timestamp,Have you ever posted a preprint?,Which most closely describes your current position?,Where do you primarily work?,On what preprint server did you post your most recent preprint?*,How long ago did you post your last preprint?,What discipline does this preprint fall under? Please check all that apply.,Did you choose the license for this preprint?,Why didn't you choose the license for this preprint?,What license was the preprint under?,What license did you choose for this preprint?,What factors were important to you in selecting this license for your preprint? [Preprint server default or recommended license],What factors were important to you in selecting this license for your preprint? [How other preprints have been licensed (on the server or in your field)],What factors were important to you in selecting this license for your preprint? [Journal policies or recommendations],What factors were important to you in selecting this license for your preprint? [Funder policies or recommendations],What factors were important to you in selecting this license for your preprint? [Library or university recommendations/resources],"What factors were important to you in selecting this license for your preprint? [Other recommendations/resources (not journal, funder, or university)]",What factors were important to you in selecting this license for your preprint? [Coauthor wishes],What factors were important to you in selecting this license for your preprint? [Potential reuse of the preprint],"If factors not listed above were important to you, please explain below.","If and when this preprint is published at your chosen journal, what do you expect the license will be?",What factors are important to you in selecting this license for your published paper? [Journal default or recommended license],What factors are important to you in selecting this license for your published paper? [How other papers have been licensed (in the journal or your field)],What factors are important to you in selecting this license for your published paper? [Additional fees for certain licenses],What factors are important to you in selecting this license for your published paper? [Funder policies or recommendations],What factors are important to you in selecting this license for your published paper? [Library or university recommendations/resources],"What factors are important to you in selecting this license for your published paper? [Other recommendations/resources (not journal, funder, or university)]",What factors are important to you in selecting this license for your published paper? [Coauthor wishes],What factors are important to you in selecting this license for your published paper? [Potential reuse of the paper],"If factors not listed above were important to you, please explain below.","If you expect the license of the final version will be different from the license you selected for the preprint, please explain the difference in your choices.","What would you like others to be able to do with your preprint, without having to ask for your permission? Assume, unless noted, that your work would be attributed to you and your co-authors.",Do you have any other comments regarding preprint licensing?
2/15/2018 20:37:15,Yes,Postdoc,North America,PeerJ Preprints,Within the last month,"Computer Science, Data Science",Yes,,,CC BY,Very important,Not at all important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Very important,Very important,,"CC BY (default for PLOS, BMC, etc)",Very important,Not at all important,Not at all important,Somewhat important,Somewhat important,Somewhat important,Very important,Very important,,,"Download my paper for reading, Download my paper and share it with others, Copy my paper to another non-commercial website, unchanged, Use a figure in their academic talks, regardless of where they live in the world, Text and data mine my paper, regardless of where they live in the world, Modify my paper and publish it elsewhere, with my contributions appropriately credited, Copy my paper to another non-commercial website with annotations (for example, see https://europepmc.org/Annotations), Sell my paper as part of a compilation of papers, Use the figures in a textbook that is sold for profit, Use the figures in an advertisement for a product, as long as it is clear that I do not endorse it, Translate the preprint into another language (e.g. Spanish)",
2/15/2018 21:36:07,Yes,Graduate Student,Europe,bioRxiv,Within the last month,Neuroscience/meta-research,Yes,,,CC BY-NC-SA,Somewhat important,Somewhat important,Not at all important,Not at all important,Not at all important,Somewhat important,Don't know,Very important,,CC BY-NC,Very important,Not at all important,Not at all important,Not at all important,Not at all important,Not at all important,Very important,Very important,,,"Download my paper for reading, Download my paper and share it with others, Copy my paper to another non-commercial website, unchanged, Use a figure in their academic talks, regardless of where they live in the world, Text and data mine my paper, regardless of where they live in the world, Copy my paper to another non-commercial website with annotations (for example, see https://europepmc.org/Annotations), Translate the preprint into another language (e.g. Spanish)",
2/15/2018 23:13:59,Yes,Faculty member,North America,bioRxiv,1-6 months ago,"Biology, Chemistry",Yes,,,All rights reserved or standard arXiv license,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Very important,Don't know,The only significant factor is maintaining control of my and my coauthors' intellectual work-product.  For decades we have had to surrender rights to parasite publishers.  I will not now surrender rights to a preprint server. ,"No creative commons license (default for Nature, Science, etc)",Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Very important,Don't know,,,"Download my paper for reading, Text and data mine my paper, regardless of where they live in the world",
2/15/2018 23:38:15,Yes,Postdoc,North America,bioRxiv,1-6 months ago,Biology,Yes,,,CC BY,Somewhat important,Somewhat important,Very important,Somewhat important,Not at all important,Not at all important,Not at all important,Somewhat important,,"No creative commons license (default for Nature, Science, etc)",Somewhat important,Not at all important,Somewhat important,Not at all important,Not at all important,Not at all important,Not at all important,Somewhat important,,"I don't know if we have enough choices for published papers, as Journal decides everything. Journal Policy on licensing does not affect my choice of journals as my manuscripts are already available at preprint servers.","Download my paper for reading, Download my paper and share it with others, Copy my paper to another non-commercial website, unchanged, Use a figure in their academic talks, regardless of where they live in the world, Text and data mine my paper, regardless of where they live in the world, Modify my paper and publish it elsewhere, with my contributions appropriately credited, Copy my paper to another non-commercial website with annotations (for example, see https://europepmc.org/Annotations), Use the figures in a textbook that is sold for profit, Translate the preprint into another language (e.g. Spanish)",What would happen if sketchy stem cell therapy company use stem cell researcher's figures with crediting those researchers names? How can we prevent this?
2/16/2018 0:38:51,Yes,Postdoc,North America,bioRxiv,1-6 months ago,Biology,Yes,,,CC BY,Not at all important,Somewhat important,Somewhat important,Very important,Somewhat important,Very important,Very important,Don't know,,"CC BY (default for PLOS, BMC, etc)",Somewhat important,Somewhat important,Somewhat important,Very important,Somewhat important,Don't know,Very important,Very important,,,"Download my paper for reading, Download my paper and share it with others, Copy my paper to another non-commercial website, unchanged, Use a figure in their academic talks, regardless of where they live in the world, Text and data mine my paper, regardless of where they live in the world, Modify my paper and publish it elsewhere, with my contributions appropriately credited, Copy my paper to another non-commercial website with annotations (for example, see https://europepmc.org/Annotations), Sell my paper as part of a compilation of papers, Use the figures in a textbook that is sold for profit, Translate the preprint into another language (e.g. Spanish)",
2/16/2018 4:52:49,Yes,Independent researcher/between programs,Europe,PeerJ Preprints,1-6 months ago,Social Sciences,Yes,,,CC BY,Not at all important,Not at all important,Not at all important,Not at all important,Not at all important,Somewhat important,Very important,Very important,,"CC BY (default for PLOS, BMC, etc)",Not at all important,Not at all important,Not at all important,Not at all important,Not at all important,Somewhat important,Very important,Very important,,,"Download my paper for reading, Download my paper and share it with others, Copy my paper to another non-commercial website, unchanged, Use a figure in their academic talks, regardless of where they live in the world, Text and data mine my paper, regardless of where they live in the world, Modify my paper and publish it elsewhere, with my contributions appropriately credited, Copy my paper to another non-commercial website with annotations (for example, see https://europepmc.org/Annotations), Translate the preprint into another language (e.g. Spanish)","Just a note to the choices above: good job, they really got me thinking and I am still internally debating about the for profit options!"
2/16/2018 5:11:19,Yes,Postdoc,Europe,bioRxiv,1-6 months ago,Biology,Yes,,,CC BY-NC,Very important,Very important,Somewhat important,Somewhat important,Somewhat important,Not at all important,Not at all important,Very important,,"CC BY (default for PLOS, BMC, etc)",Very important,Not at all important,Very important,Somewhat important,Not at all important,Somewhat important,Not at all important,Very important,I chose to submit my work to an entirely open-access journal to support the ongoing change away from paywall journals,,"Download my paper for reading, Download my paper and share it with others, Copy my paper to another non-commercial website, unchanged, Use a figure in their academic talks, regardless of where they live in the world, Text and data mine my paper, regardless of where they live in the world, Copy my paper to another non-commercial website with annotations (for example, see https://europepmc.org/Annotations), Translate the preprint into another language (e.g. Spanish)",
2/16/2018 9:43:34,Yes,Postdoc,South America,arXiv,Over 12 months ago,Computer Science,No,I do not remember,All rights reserved or standard arXiv license,,,,,,,,,,,,,,,,,,,,,,"Download my paper for reading, Download my paper and share it with others, Copy my paper to another non-commercial website, unchanged, Use a figure in their academic talks, regardless of where they live in the world, Text and data mine my paper, regardless of where they live in the world, Modify my paper and publish it elsewhere, with my contributions appropriately credited, Copy my paper to another non-commercial website with annotations (for example, see https://europepmc.org/Annotations), Copy my paper to the website of a journal to which I did not submit it, Translate the preprint into another language (e.g. Spanish)",
2/16/2018 9:51:02,Yes,Faculty member,South America,bioRxiv,1-6 months ago,Biology,Yes,,,CC BY,Very important,Very important,Not at all important,Not at all important,Not at all important,Not at all important,Not at all important,Very important,,"No creative commons license (default for Nature, Science, etc)",Very important,Somewhat important,Very important,Not at all important,Not at all important,Not at all important,Somewhat important,Somewhat important,,Lack of funding to publish in a OA journal,"Download my paper for reading, Download my paper and share it with others, Copy my paper to another non-commercial website, unchanged, Use a figure in their academic talks, regardless of where they live in the world, Text and data mine my paper, regardless of where they live in the world, Modify my paper and publish it elsewhere, with my contributions appropriately credited, Copy my paper to another non-commercial website with annotations (for example, see https://europepmc.org/Annotations)",
2/16/2018 10:23:06,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
